Datetime,Timestamp,Nº de partículas,Temp Sensor,Temp cabezal derecho,Temp cabezal izquierdo,Corriente Calentador,Intensidad,Precipitacion,Reflectividad,Estado Sensor,MissingData,Precip_Active,Precip_Event
2025-01-08 20:00:00,1736377200.0,37.0,17.0,18.0,18.0,2.0,0.387,15.22,22.103,0.0,False,True,4
2025-01-08 20:01:00,1736377260.0,46.0,17.0,18.0,18.0,2.0,0.302,15.23,18.823,0.0,False,True,4
2025-01-08 20:02:00,1736377320.0,57.0,17.0,18.0,18.0,2.0,0.343,15.23,19.864,0.0,False,True,4
2025-01-08 20:03:00,1736377380.0,83.0,17.0,18.0,18.0,2.0,0.339,15.24,17.213,0.0,False,True,4
2025-01-08 20:04:00,1736377440.0,94.0,17.0,18.0,18.0,2.0,1.018,15.25,27.966,0.0,False,True,4
2025-01-08 20:05:00,1736377500.0,87.0,17.0,18.0,18.0,2.0,1.335,15.28,29.674,0.0,False,True,4
2025-01-08 20:06:00,1736377560.0,42.0,17.0,18.0,18.0,2.0,0.73,15.29,27.718,0.0,False,True,4
2025-01-08 20:07:00,1736377620.0,48.0,17.0,18.0,18.0,2.0,0.504,15.3,23.572,0.0,False,True,4
2025-01-08 20:08:00,1736377680.0,54.0,17.0,18.0,18.0,2.0,0.6,15.31,25.093,0.0,False,True,4
2025-01-08 20:09:00,1736377740.0,89.0,17.0,18.0,18.0,2.0,0.915,15.32,27.554,0.0,False,True,4
2025-01-08 20:10:00,1736377800.0,79.0,16.0,18.0,18.0,2.0,1.557,15.35,32.573,0.0,False,True,4
2025-01-08 20:11:00,1736377860.0,75.0,16.0,18.0,18.0,2.0,1.019,15.37,27.723,0.0,False,True,4
2025-01-08 20:12:00,1736377920.0,77.0,16.0,17.0,18.0,2.0,0.852,15.38,27.19,0.0,False,True,4
2025-01-08 20:13:00,1736377980.0,51.0,16.0,17.0,18.0,2.0,0.53,15.39,24.449,0.0,False,True,4
2025-01-08 20:14:00,1736378040.0,31.0,16.0,17.0,18.0,2.0,0.431,15.4,23.023,0.0,False,True,4
2025-01-08 20:15:00,1736378100.0,36.0,16.0,17.0,17.0,2.0,0.541,15.41,24.383,0.0,False,True,4
2025-01-08 20:16:00,1736378160.0,28.0,16.0,17.0,17.0,2.0,0.463,15.41,23.933,0.0,False,True,4
2025-01-08 20:17:00,1736378220.0,46.0,16.0,17.0,17.0,2.0,0.534,15.42,24.82,0.0,False,True,4
2025-01-08 20:18:00,1736378280.0,42.0,16.0,17.0,17.0,2.0,0.518,15.43,23.889,0.0,False,True,4
2025-01-08 20:19:00,1736378340.0,30.0,16.0,17.0,17.0,2.0,0.311,15.44,21.229,0.0,False,True,4
2025-01-08 20:20:00,1736378400.0,32.0,16.0,17.0,17.0,2.0,0.418,15.44,23.825,0.0,False,True,4
2025-01-08 20:21:00,1736378460.0,71.0,16.0,17.0,17.0,2.0,0.777,15.46,24.565,0.0,False,True,4
2025-01-08 20:22:00,1736378520.0,50.0,16.0,17.0,17.0,2.0,1.009,15.47,28.274,0.0,False,True,4
2025-01-08 20:23:00,1736378580.0,39.0,16.0,17.0,17.0,2.0,0.577,15.48,25.689,0.0,False,True,4
2025-01-08 20:24:00,1736378640.0,56.0,16.0,17.0,17.0,2.0,0.639,15.49,23.849,0.0,False,True,4
2025-01-08 20:25:00,1736378700.0,67.0,16.0,17.0,17.0,2.0,0.846,15.51,26.685,0.0,False,True,4
2025-01-08 20:26:00,1736378760.0,117.0,16.0,17.0,17.0,2.0,1.516,15.53,28.382,0.0,False,True,4
2025-01-08 20:27:00,1736378820.0,82.0,16.0,17.0,17.0,2.0,0.88,15.55,25.573,0.0,False,True,4
2025-01-08 20:28:00,1736378880.0,89.0,16.0,17.0,17.0,2.0,1.354,15.57,29.811,0.0,False,True,4
2025-01-08 20:29:00,1736378940.0,59.0,16.0,17.0,17.0,2.0,1.141,15.59,30.387,0.0,False,True,4
2025-01-08 20:30:00,1736379000.0,69.0,16.0,17.0,17.0,2.0,1.635,15.62,33.375,0.0,False,True,4
2025-01-08 20:31:00,1736379060.0,80.0,15.0,17.0,17.0,2.0,0.876,15.63,27.283,0.0,False,True,4
2025-01-08 20:32:00,1736379120.0,95.0,15.0,17.0,17.0,2.0,1.609,15.66,31.103,0.0,False,True,4
2025-01-08 20:33:00,1736379180.0,130.0,15.0,17.0,17.0,2.0,1.988,15.69,30.941,0.0,False,True,4
2025-01-08 20:34:00,1736379240.0,166.0,15.0,17.0,17.0,2.0,1.464,15.72,27.85,0.0,False,True,4
2025-01-08 20:35:00,1736379300.0,187.0,15.0,17.0,17.0,2.0,1.828,15.75,29.191,0.0,False,True,4
2025-01-08 20:36:00,1736379360.0,110.0,15.0,17.0,17.0,2.0,1.714,15.78,30.284,0.0,False,True,4
2025-01-08 20:37:00,1736379420.0,127.0,15.0,17.0,17.0,2.0,1.481,15.8,28.879,0.0,False,True,4
2025-01-08 20:38:00,1736379480.0,153.0,15.0,16.0,16.0,2.0,1.391,15.82,27.041,0.0,False,True,4
2025-01-08 20:39:00,1736379540.0,139.0,15.0,16.0,16.0,2.0,0.818,15.84,22.343,0.0,False,True,4
2025-01-08 20:40:00,1736379600.0,101.0,15.0,16.0,16.0,2.0,0.43,15.84,19.172,0.0,False,True,4
2025-01-08 20:41:00,1736379660.0,76.0,15.0,16.0,16.0,2.0,0.329,15.85,17.125,0.0,False,True,4
2025-01-08 20:42:00,1736379720.0,103.0,15.0,16.0,16.0,2.0,0.311,15.86,15.708,0.0,False,True,4
2025-01-08 20:43:00,1736379780.0,83.0,15.0,16.0,16.0,2.0,0.235,15.86,13.95,0.0,False,True,4
2025-01-08 20:44:00,1736379840.0,63.0,15.0,16.0,16.0,2.0,0.161,15.86,13.341,0.0,False,True,4
2025-01-08 20:45:00,1736379900.0,76.0,15.0,16.0,16.0,2.0,0.347,15.87,21.763,0.0,False,True,4
2025-01-08 20:46:00,1736379960.0,52.0,15.0,16.0,16.0,2.0,0.642,15.88,25.424,0.0,False,True,4
2025-01-08 20:47:00,1736380020.0,84.0,14.0,16.0,16.0,2.0,0.771,15.89,24.698,0.0,False,True,4
2025-01-08 20:48:00,1736380080.0,66.0,14.0,16.0,16.0,2.0,0.388,15.9,20.993,0.0,False,True,4
2025-01-08 20:49:00,1736380140.0,86.0,14.0,16.0,16.0,2.0,0.537,15.91,21.952,0.0,False,True,4
2025-01-08 20:50:00,1736380200.0,79.0,14.0,16.0,16.0,2.0,0.664,15.92,25.501,0.0,False,True,4
2025-01-08 20:51:00,1736380260.0,56.0,14.0,16.0,16.0,2.0,0.571,15.93,24.464,0.0,False,True,4
2025-01-08 20:52:00,1736380320.0,42.0,14.0,16.0,16.0,2.0,0.351,15.93,21.843,0.0,False,True,4
2025-01-08 20:53:00,1736380380.0,48.0,14.0,16.0,16.0,2.0,0.438,15.94,21.449,0.0,False,True,4
2025-01-08 20:54:00,1736380440.0,30.0,14.0,16.0,16.0,2.0,0.274,15.95,19.454,0.0,False,True,4
2025-01-08 20:55:00,1736380500.0,36.0,14.0,15.0,15.0,2.0,0.39,15.95,23.522,0.0,False,True,4
2025-01-08 20:56:00,1736380560.0,18.0,14.0,15.0,15.0,2.0,0.39,15.96,25.226,0.0,False,True,4
2025-01-08 20:57:00,1736380620.0,18.0,14.0,15.0,15.0,2.0,0.537,15.97,25.757,0.0,False,True,4
2025-01-08 20:58:00,1736380680.0,29.0,14.0,15.0,15.0,2.0,0.486,15.98,24.363,0.0,False,True,4
2025-01-08 20:59:00,1736380740.0,39.0,14.0,15.0,15.0,2.0,0.648,15.99,25.681,0.0,False,True,4
2025-01-08 21:00:00,1736380800.0,44.0,14.0,15.0,15.0,2.0,0.508,16.0,23.062,0.0,False,True,4
2025-01-08 21:01:00,1736380860.0,47.0,14.0,15.0,15.0,2.0,0.397,16.0,21.219,0.0,False,True,4
