Datetime,Timestamp,Nº de partículas,Temp Sensor,Temp cabezal derecho,Temp cabezal izquierdo,Corriente Calentador,Intensidad,Precipitacion,Reflectividad,Estado Sensor,MissingData,Precip_Active,Precip_Event
2025-01-07 00:09:00,1736219340.0,197.0,24.0,27.0,27.0,0.11,0.134,0.04,9.728,0.0,False,True,6
2025-01-07 00:10:00,1736219400.0,204.0,24.0,26.0,26.0,0.15,0.144,0.04,9.504,0.0,False,True,6
2025-01-07 00:11:00,1736219460.0,160.0,24.0,27.0,27.0,0.12,0.098,0.04,8.07,0.0,False,True,6
2025-01-07 00:12:00,1736219520.0,230.0,24.0,26.0,26.0,0.07,0.147,0.04,10.063,0.0,False,True,6
2025-01-07 00:13:00,1736219580.0,178.0,23.0,27.0,26.0,0.3,0.11,0.04,8.706,0.0,False,True,6
2025-01-07 00:14:00,1736219640.0,193.0,23.0,26.0,26.0,0.18,0.125,0.05,9.09,0.0,False,True,6
2025-01-07 00:16:00,1736219760.0,95.0,23.0,25.0,25.0,0.15,0.061,0.05,6.323,0.0,False,True,6
2025-01-07 00:21:00,1736220060.0,60.0,22.0,25.0,26.0,0.27,0.234,0.05,26.416,0.0,False,True,6
2025-01-07 00:22:00,1736220120.0,40.0,22.0,24.0,24.0,0.21,0.213,0.05,24.075,0.0,False,True,6
2025-01-07 00:23:00,1736220180.0,108.0,22.0,26.0,26.0,0.16,0.055,0.06,5.598,0.0,False,True,6
2025-01-07 00:24:00,1736220240.0,66.0,22.0,24.0,24.0,0.0,0.832,0.07,32.194,0.0,False,True,6
2025-01-07 00:25:00,1736220300.0,87.0,21.0,24.0,24.0,0.18,0.333,0.08,23.79,0.0,False,True,6
2025-01-07 00:26:00,1736220360.0,233.0,21.0,23.0,23.0,0.0,3.63,0.14,40.877,0.0,False,True,6
2025-01-07 00:27:00,1736220420.0,223.0,21.0,24.0,24.0,0.31,3.306,0.19,38.204,0.0,False,True,6
2025-01-07 00:28:00,1736220480.0,246.0,20.0,22.0,23.0,0.0,1.823,0.22,34.104,0.0,False,True,6
2025-01-07 00:29:00,1736220540.0,382.0,20.0,23.0,22.0,0.24,6.071,0.32,40.418,0.0,False,True,6
2025-01-07 00:30:00,1736220600.0,324.0,19.0,22.0,22.0,0.0,6.667,0.43,40.167,0.0,False,True,6
2025-01-07 00:31:00,1736220660.0,174.0,19.0,21.0,22.0,0.13,4.668,0.51,37.087,0.0,False,True,6
2025-01-07 00:33:00,1736220780.0,138.0,19.0,21.0,22.0,0.21,2.78,0.62,32.987,0.0,False,True,6
2025-01-07 00:34:00,1736220840.0,186.0,18.0,21.0,21.0,0.0,3.968,0.69,34.855,0.0,False,True,6
2025-01-07 00:35:00,1736220900.0,194.0,18.0,22.0,22.0,0.47,2.898,0.74,33.804,0.0,False,True,6
2025-01-07 00:36:00,1736220960.0,198.0,18.0,21.0,21.0,0.0,3.424,0.79,34.105,0.0,False,True,6
2025-01-07 00:37:00,1736221020.0,167.0,18.0,21.0,21.0,0.24,2.032,0.83,30.039,0.0,False,True,6
2025-01-07 00:38:00,1736221080.0,135.0,18.0,21.0,20.0,0.0,1.335,0.85,27.594,0.0,False,True,6
2025-01-07 00:39:00,1736221140.0,140.0,18.0,21.0,22.0,0.29,1.358,0.87,27.528,0.0,False,True,6
2025-01-07 00:40:00,1736221200.0,132.0,18.0,21.0,21.0,0.0,1.414,0.9,27.826,0.0,False,True,6
2025-01-07 00:41:00,1736221260.0,157.0,18.0,20.0,20.0,0.17,1.625,0.92,28.564,0.0,False,True,6
2025-01-07 00:42:00,1736221320.0,144.0,18.0,20.0,21.0,0.07,1.413,0.95,28.268,0.0,False,True,6
2025-01-07 00:43:00,1736221380.0,112.0,18.0,20.0,21.0,0.15,0.554,0.96,21.964,0.0,False,True,6
2025-01-07 00:44:00,1736221440.0,148.0,18.0,21.0,21.0,0.07,0.685,0.97,22.049,0.0,False,True,6
2025-01-07 00:45:00,1736221500.0,128.0,18.0,20.0,20.0,0.0,0.508,0.98,21.362,0.0,False,True,6
2025-01-07 00:46:00,1736221560.0,109.0,18.0,21.0,21.0,0.33,0.336,0.98,16.753,0.0,False,True,6
2025-01-07 00:47:00,1736221620.0,117.0,18.0,20.0,20.0,0.08,0.272,0.99,14.3,0.0,False,True,6
2025-01-07 00:48:00,1736221680.0,114.0,18.0,21.0,22.0,0.16,0.275,0.99,14.297,0.0,False,True,6
2025-01-07 00:49:00,1736221740.0,108.0,18.0,21.0,21.0,0.07,0.273,1.0,14.491,0.0,False,True,6
2025-01-07 00:50:00,1736221800.0,116.0,18.0,20.0,21.0,0.1,0.283,1.0,14.869,0.0,False,True,6
2025-01-07 00:51:00,1736221860.0,120.0,18.0,22.0,20.0,0.13,0.307,1.01,15.48,0.0,False,True,6
2025-01-07 00:52:00,1736221920.0,84.0,18.0,21.0,21.0,0.1,0.275,1.01,17.051,0.0,False,True,6
2025-01-07 00:53:00,1736221980.0,82.0,18.0,20.0,20.0,0.13,0.473,1.02,25.227,0.0,False,True,6
2025-01-07 00:54:00,1736222040.0,74.0,18.0,21.0,21.0,0.1,0.392,1.03,23.265,0.0,False,True,6
2025-01-07 00:55:00,1736222100.0,61.0,18.0,20.0,20.0,0.0,0.321,1.03,21.11,0.0,False,True,6
2025-01-07 00:56:00,1736222160.0,66.0,18.0,21.0,22.0,0.28,0.346,1.04,20.872,0.0,False,True,6
2025-01-07 00:57:00,1736222220.0,91.0,18.0,20.0,21.0,0.03,0.233,1.04,16.729,0.0,False,True,6
2025-01-07 00:58:00,1736222280.0,77.0,18.0,20.0,20.0,0.15,0.126,1.04,11.548,0.0,False,True,6
2025-01-07 00:59:00,1736222340.0,53.0,18.0,21.0,21.0,0.08,0.099,1.04,9.807,0.0,False,True,6
2025-01-07 01:00:00,1736222400.0,38.0,18.0,20.0,20.0,0.09,0.09,1.05,13.052,0.0,False,True,6
2025-01-07 01:01:00,1736222460.0,44.0,18.0,22.0,21.0,0.12,0.2,1.05,18.483,0.0,False,True,6
2025-01-07 01:02:00,1736222520.0,55.0,18.0,20.0,20.0,0.15,0.121,1.05,15.652,0.0,False,True,6
2025-01-07 01:03:00,1736222580.0,58.0,18.0,21.0,21.0,0.08,0.176,1.05,16.692,0.0,False,True,6
2025-01-07 01:04:00,1736222640.0,59.0,18.0,20.0,20.0,0.01,0.132,1.06,13.239,0.0,False,True,6
2025-01-07 01:05:00,1736222700.0,64.0,18.0,21.0,21.0,0.19,0.415,1.06,20.173,0.0,False,True,6
2025-01-07 01:06:00,1736222760.0,62.0,18.0,20.0,20.0,0.12,0.313,1.07,18.991,0.0,False,True,6
2025-01-07 01:07:00,1736222820.0,82.0,18.0,21.0,21.0,0.1,0.532,1.08,21.014,0.0,False,True,6
2025-01-07 01:08:00,1736222880.0,96.0,18.0,20.0,20.0,0.1,0.587,1.09,21.299,0.0,False,True,6
2025-01-07 01:09:00,1736222940.0,85.0,18.0,21.0,21.0,0.09,0.507,1.1,20.217,0.0,False,True,6
2025-01-07 01:10:00,1736223000.0,110.0,18.0,20.0,20.0,0.06,0.549,1.1,22.119,0.0,False,True,6
2025-01-07 01:11:00,1736223060.0,149.0,18.0,21.0,20.0,0.07,0.969,1.12,26.223,0.0,False,True,6
2025-01-07 01:12:00,1736223120.0,165.0,18.0,20.0,21.0,0.19,1.502,1.15,28.696,0.0,False,True,6
2025-01-07 01:13:00,1736223180.0,152.0,18.0,21.0,20.0,0.0,1.995,1.18,31.353,0.0,False,True,6
2025-01-07 01:14:00,1736223240.0,165.0,18.0,20.0,22.0,0.2,2.119,1.21,31.629,0.0,False,True,6
2025-01-07 01:15:00,1736223300.0,173.0,18.0,21.0,21.0,0.03,2.041,1.25,30.929,0.0,False,True,6
2025-01-07 01:16:00,1736223360.0,219.0,18.0,20.0,21.0,0.25,3.922,1.31,35.797,0.0,False,True,6
2025-01-07 01:17:00,1736223420.0,202.0,18.0,21.0,21.0,0.0,3.605,1.37,35.956,0.0,False,True,6
2025-01-07 01:18:00,1736223480.0,172.0,18.0,20.0,20.0,0.05,2.314,1.41,32.364,0.0,False,True,6
2025-01-07 01:19:00,1736223540.0,154.0,18.0,22.0,21.0,0.18,3.341,1.47,35.787,0.0,False,True,6
2025-01-07 01:20:00,1736223600.0,186.0,18.0,21.0,20.0,0.1,3.322,1.52,36.88,0.0,False,True,6
2025-01-07 01:21:00,1736223660.0,286.0,18.0,21.0,21.0,0.09,5.299,1.61,37.499,0.0,False,True,6
2025-01-07 01:22:00,1736223720.0,549.0,18.0,20.0,20.0,0.02,9.542,1.77,37.801,0.0,False,True,6
2025-01-07 01:23:00,1736223780.0,633.0,18.0,21.0,22.0,0.18,10.756,1.95,37.91,0.0,False,True,6
2025-01-07 01:24:00,1736223840.0,630.0,18.0,21.0,20.0,0.0,12.006,2.15,39.35,0.0,False,True,6
2025-01-07 01:25:00,1736223900.0,692.0,18.0,22.0,21.0,0.27,13.918,2.38,39.562,0.0,False,True,6
2025-01-07 01:26:00,1736223960.0,677.0,18.0,21.0,20.0,0.0,10.151,2.55,38.42,0.0,False,True,6
2025-01-07 01:27:00,1736224020.0,643.0,18.0,20.0,22.0,0.2,8.299,2.69,36.82,0.0,False,True,6
2025-01-07 01:28:00,1736224080.0,576.0,18.0,21.0,21.0,0.01,6.864,2.81,36.124,0.0,False,True,6
2025-01-07 01:29:00,1736224140.0,677.0,18.0,20.0,21.0,0.1,8.342,2.95,36.97,0.0,False,True,6
